type_,address,area,price,metro_station,metro_line,date,update_date,floor,full_floor
2-комн.кв.,", 1к1",58,14848951,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:39",32,32
2-комн.кв.,"Радужная ул, 4",54,7543787,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:39",8,12
3-комн.кв.,"Радужная ул, 4",53,7919583,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:40",12,12
2-комн.кв.,"Радужная ул, 4",44,6759063,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:40",12,12
3-комн.кв.,"Радужная ул, 4",53,7607114,Станция не указана,Ветка не указана,Размещено 23 февраля,"сегодня, 00:40",8,12
2-комн.кв.,"Недорубова ул, 32",47,12340224,Некрасовка м.,purpledark,Размещено 23 февраля,"сегодня, 00:39",12,19
2-комн.кв.,"Радужная ул, 4",54,7322382,Станция не указана,Ветка не указана,Размещено 26 февраля,"сегодня, 00:39",8,12
1-комн.кв.,", 1к1",37,9108792,Станция не указана,Ветка не указана,Размещено 3 марта,"сегодня, 00:16",16,28
3-комн.кв.,"Радужная ул, 4",58,8086278,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
2-комн.кв.,"Радужная ул, 4",54,7838578,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
2-комн.кв.,"Радужная ул, 4",5,7744673,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:40",12,12
2-комн.кв.,"Радужная ул, 4",35,6307105,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37,10444392,Бунинская аллея м.,cyan,Размещено 22 февраля,"сегодня, 00:12",8,13
2-комн.кв.,"Радужная ул, 4",41,6610131,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
3-комн.кв.,"Радужная ул, 4",5,7946735,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
3-комн.кв.,"Радужная ул, 4",58,8363884,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
2-комн.кв.,"Радужная ул, 4",5,7453330,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
1-комн.кв.,"Радужная ул, 4",6,5612077,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:40",12,12
3-комн.кв.,"Радужная ул, 4",58,8049483,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
1-комн.кв.,"Радужная ул, 4",35,6725003,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
1-комн.кв.,"Радужная ул, 4",33,6519319,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
3-комн.кв.,"Радужная ул, 4",5,8050444,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
1-комн.кв.,"Радужная ул, 4",35,6597652,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
3-комн.кв.,"Радужная ул, 4",58,8402097,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
2-комн.кв.,"Радужная ул, 4",5,7867686,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
1-комн.кв.,"Радужная ул, 4",35,6491468,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
2-комн.кв.,"Радужная ул, 4",54,7608460,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:40",12,12
1-комн.кв.,", 1к1",30,7661352,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:21",19,28
1-комн.кв.,"Радужная ул, 4",35,6491468,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
1-комн.кв.,"Радужная ул, 4",35,6877476,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:40",12,12
3-комн.кв.,"Радужная ул, 4",79,9599569,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
1-комн.кв.,"Радужная ул, 4",33,6773969,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
1-комн.кв.,"Радужная ул, 4",35,6855372,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
3-комн.кв.,"Радужная ул, 4",79,9237393,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",8,12
1-комн.кв.,"Радужная ул, 4",35,6745055,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:39",12,12
1-комн.кв.,"Радужная ул, 4",35,6628937,Станция не указана,Ветка не указана,Размещено 22 февраля,"сегодня, 00:40",8,12
